ID, Question, Choice_A, Choice_B, Choice_C, Choice_D, Choice_E, Correct_Answer
98,The Middle Passage referred to the,(A) crossing of the Atlantic by the Pilgrims.,(B) conversion of people to the “elect” of the Puritan faith.,(C) journey of African slaves from West Africa to the New World.,(D) journey to heaven after death.,(E) transporting of rum across the Atlantic Ocean to Africa as part of Triangular Trade.,C
99,"The trade in slaves, rum, and molasses that took place during the 1700s among the colonies, Africa, and England was called",(A) the Commercial Revolution.,(B) mercantilism.,(C) rum running.,(D) barter.,(E) Triangular Trade.,E
100,"The British government countered the colonists’ argument that they were not represented in Parliament and, therefore, could not be taxed by Britain, with the idea of",(A) actual representation.,(B) virtual representation.,(C) divine right rule.,(D) mercantilism.,(E) a classed society.,B
101,"The French and Indian War, which ended in 1763, was significant because it",(A) removed the Native American threat from the colonies.,(B) severely drained the British treasury.,(C) opened up new lands west of the Mississippi River.,(D) gave Florida to France.,(E) signaled a shift in the British policy of salutary neglect to one of British involvement in the affairs of the colonies.,E
102,The Intolerable Acts passed in 1774,(A) affected all the colonies in British North America.,(B) affected only the city of Boston.,(C) resulted in the suspension of the charter of Massachusetts.,(D) led to Shays’s Rebellion.,(E) were a direct result of the Townshend Acts.,C
103,"Thomas Paine’s pamphlet, Common Sense, was significant because it",(A) outlined the reasons for the ratification of the Constitution.,(B) outlined the reasons colonial independence from Great Britain was a logical step for the colonies to take.,(C) was rejected by the colonists as a piece of propaganda.,(D) stated a belief in democracy.,(E) was written by a high-ranking British official who supported colonial independence.,B
104,One of the challenges facing the delegates to the Constitution Convention in 1787 was,(A) where the seat of government was to be located.,(B) the role of the cabinet in the executive branch of government.,(C) the fear of military rule to control the mobs.,(D) the need to balance governmental powers and states’ rights.,(E) the need to crush Shays’s Rebellion and other similar protests that had been occurring at the time.,D
105,One of the most notable achievements of the Articles of Confederation was its,(A) ability to enforce the laws of the land.,(B) legislation concerning the settlement of the territories acquired from Great Britain at the end of the Revolutionary War.,(C) ability to deal with foreign and domestic commerce.,(D) the establishment of a system of checks and balances.,(E) the flexibility it built into the government by the simple amending process that it established.,E
106,"To convince the states to ratify the Constitution, James Madison, Alexander Hamilton, and",(A) (B) (C) (D) (E) John Jay wrote the Bill of Rights. the Northwest Ordinance. The Federalist Papers. the pamphlet Common Sense. the Great Compromise.,C,,,,
107,Which statement best characterizes the attitude of the delegates to the Constitutional Convention toward the issue of slavery?,(A) The delegates were indifferent to the issue of slavery.,(B) The delegates recognized the need for the expansion of slavery as the nation grew.,(C) The delegates treated slavery as a political issue because it threatened the unity of the nation.,(D) There was a deep concern among the delegates for the plight of the African slave.,(E) The Southern states viewed their role with regard to the slaves as a paternalistic one.,C
108,Washington’s administration was significant because it,(A) dealt successfully with the problems between England and France.,(B) dealt effectively with political parties.,"(C) was the first administration and, thus, set precedents for future administrations.",(D) supported the British after the French declared war on Great Britain in 1793.,(E) established a strong political base for the Democratic-Republicans.,C
109,All of the following were part of Hamilton’s financial program EXCEPT,"(A) the establishment of the capital of the United States in Washington, D.C.",(B) the funding of the domestic and foreign debt of the United States.,(C) the assumption of state debt.,(D) the levying of excise taxes and tariffs.,(E) the establishment of the Bank of the United States.,A
110,"In his “Farewell Address,” delivered in 1796, George Washington counseled the United States to",(A) choose sides carefully in the conflict between England and France.,(B) build a strong Navy.,(C) remain neutral when it came to conflict in Europe.,(D) support England in the conflict with France.,(E) support John Adams and his incoming administration.,C
111,Thomas Jefferson’s objection to the Bank of the United States centered around his belief in,(A) loose construction of the Constitution.,(B) implied powers.,(C) the idea that the Bank favored the wealthy Southern planters.,(D) nullification of federal laws by the states.,(E) strict construction of the Constitution.,E
112,The election of 1800 has often been termed the “Revolution of 1800.” This refers to the,(A) marked the first election of a non-Virginian to the presidency since the establishment of the Constitution.,(B) was a peaceful transition of the control of the presidency from a Federalist to a Democratic-Republican.,(C) changed the process of electing the president.,(D) resulted in the election of the first non-Christian to the presidency.,(E) was the first election in which the western section of the country was very influential.,B
